-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.5714285714285714,0.14285714285714285,1.0,0.5,0.6,1.0,1.0,0.2,0.16666666666666666,0.5,0.8333333333333334,0.0,1.0,0.09523809523809523,0.6630434782608695,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20863475895595815,1
1,0.5714285714285714,0.14285714285714285,0.6666666666666666,0.6,0.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.09523809523809523,0.9239130434782609,0.02040816326530612,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20923278739124562,1
2,0.7142857142857143,0.2857142857142857,0.0,0.8,0.9,0.0,1.0,0.8,0.5,0.0,1.0,0.0,1.0,0.19047619047619047,0.41304347826086957,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20967648590774934,-1
3,0.8571428571428571,0.2857142857142857,0.3333333333333333,0.3,0.4,1.0,1.0,0.7,0.16666666666666666,0.5,1.0,0.0,1.0,0.047619047619047616,0.6304347826086957,0.02040816326530612,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2097343596272933,-1
4,0.42857142857142855,0.14285714285714285,0.6666666666666666,0.6,0.0,1.0,1.0,0.6,0.5,0.25,0.8333333333333334,0.0,1.0,0.09523809523809523,0.8804347826086957,0.02040816326530612,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21002372822501308,1
5,1.0,0.14285714285714285,0.6666666666666666,0.4,0.5,1.0,1.0,0.9,0.3333333333333333,0.25,1.0,0.0,1.0,0.14285714285714285,0.8586956521739131,0.02040816326530612,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21019734938364493,1
6,0.2857142857142857,0.0,0.3333333333333333,0.4,0.4,0.0,1.0,0.8,0.8333333333333334,0.0,1.0,0.0,1.0,0.09523809523809523,0.9347826086956522,0.02040816326530612,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2104867179813647,-1
7,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.9,0.1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7717391304347826,0.05102040816326531,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21050600922121263,-1
8,0.5714285714285714,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.25,1.0,0.0,1.0,0.14285714285714285,0.6195652173913043,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21050600922121263,-1
9,0.7142857142857143,0.2857142857142857,0.3333333333333333,0.8,0.8,0.0,1.0,0.8,0.8333333333333334,0.0,0.8333333333333334,0.0,1.0,0.19047619047619047,0.6739130434782609,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21054459170090867,-1
10,0.8571428571428571,0.5714285714285714,0.3333333333333333,0.3,0.0,1.0,1.0,1.0,1.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.5,0.05102040816326531,0.16666666666666666,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2105638829407566,-1
11,1.0,0.2857142857142857,1.0,0.5,0.1,0.0,1.0,1.0,0.0,0.5,0.16666666666666666,0.0,0.8,0.047619047619047616,0.391304347826087,0.0,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2105831741806046,1
12,0.8571428571428571,0.2857142857142857,0.6666666666666666,0.0,0.0,1.0,1.0,0.9,0.5,0.25,1.0,0.0,0.4,0.14285714285714285,0.75,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2105831741806046,1
13,0.42857142857142855,0.2857142857142857,0.3333333333333333,0.2,0.6,0.0,1.0,0.8,0.3333333333333333,0.25,1.0,0.0,1.0,0.047619047619047616,0.532608695652174,0.01020408163265306,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21062175666030053,-1
14,0.7142857142857143,0.2857142857142857,0.0,0.5,0.7,1.0,1.0,0.7,0.16666666666666666,0.5,1.0,0.0,1.0,0.047619047619047616,0.34782608695652173,0.0,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.21062175666030053,-1
15,0.5714285714285714,0.42857142857142855,1.0,0.5,0.2,0.0,1.0,1.0,0.0,0.25,0.16666666666666666,0.0,1.0,0.047619047619047616,0.391304347826087,0.0,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.21062175666030053,1
